rank,username,full_name,followers,following,posts,verified,private,profile_url,discovery_depth
1,entrepreneurshipquote,Entrepreneurship | Business,2893714,28,4855,True,False,https://instagram.com/entrepreneurshipquote,1
2,businessgrowthmentor,Business Growth Mentor ™,2847816,15,5535,False,False,https://instagram.com/businessgrowthmentor,1
3,investearnsave,Investing | Motivation | Technology,1827783,103,4292,True,False,https://instagram.com/investearnsave,1
4,millionairessteps,Business | Entrepreneurship | Technology,1666702,45,4980,False,False,https://instagram.com/millionairessteps,1
5,money.focus,Motivation | Business | News,1356000,86,5358,False,False,https://instagram.com/money.focus,1
6,age_of_attitude,Motivation | Leadership | Quotes,1236168,108,1144,False,False,https://instagram.com/age_of_attitude,1
7,millionaire.dream,Business | Mindset | inspiration,1083942,103,8034,False,False,https://instagram.com/millionaire.dream,1
8,businessvillains,Business Villains™,576593,67,5172,False,False,https://instagram.com/businessvillains,1
9,sheinspiresstrength,Women Empowerment | Motivation | personal growth,380869,270,1448,False,False,https://instagram.com/sheinspiresstrength,0
10,words4millionaires,Business | Money | Inspiration,347175,10,6233,False,False,https://instagram.com/words4millionaires,1
11,success_snap,MOTIVATION ▪️MARKETING ▪️MONEY,328377,120,4872,False,False,https://instagram.com/success_snap,1
12,alerts,@alerts,291752,286,1318,False,False,https://instagram.com/alerts,0
13,moneytutorship,Business | Wealth | Entrepreneurship | AI,256552,99,3246,False,False,https://instagram.com/moneytutorship,1
14,rocklee,Rock Lee,111431,66,819,True,False,https://instagram.com/rocklee,1
15,startupskill,Startupskill | Community | Entrepreneur,86271,34,338,False,False,https://instagram.com/startupskill,1
16,thejustinwelsh,Justin Welsh,77636,850,1160,True,False,https://instagram.com/thejustinwelsh,0
17,abduhsudaisiy,ABDUH,69462,1091,765,True,False,https://instagram.com/abduhsudaisiy,0
18,flor,flor,50813,292,274,True,False,https://instagram.com/Flor,0
19,themultipassionateclub,The Multi-Passionate Club,44733,109,143,False,False,https://instagram.com/THEMULTIPASSIONATECLUB,0
20,businessmoneywealth,Business | Money | Wealth,37550,30,1156,False,False,https://instagram.com/BUSINESSMONEYWEALTH,0
